Mes ano,Puerto,Volumen carga,Numero de buques,Calado,Productividad
ENE 2019,Contecon Guayaquil,494969.32,63.00,12.50,374.33
FEB 2019,Contecon Guayaquil,450484.25,53.00,12.50,482.13
MAR 2019,Contecon Guayaquil,556951.79,67.00,12.50,387.77
ABR 2019,Contecon Guayaquil,492630.09,55.00,12.50,480.13
MAY 2019,Contecon Guayaquil,550436.01,68.00,12.50,418.53
JUN 2019,Contecon Guayaquil,492249.79,57.00,12.50,522.94
JUL 2019,Contecon Guayaquil,462582.70,52.00,12.50,581.00
AGO 2019,Contecon Guayaquil,493809.82,55.00,12.50,626.32
SEP 2019,Contecon Guayaquil,501623.36,53.00,12.50,563.90
OCT 2019,Contecon Guayaquil,485726.64,53.00,12.50,504.84
NOV 2019,Contecon Guayaquil,514124.86,60.00,12.50,534.91
DIC 2019,Contecon Guayaquil,518037.51,59.00,12.50,452.38
ENE 2019,Dp World Posorja,0.00,0.00,16.50,0.00
FEB 2019,Dp World Posorja,0.00,0.00,16.50,0.00
MAR 2019,Dp World Posorja,0.00,0.00,16.50,0.00
ABR 2019,Dp World Posorja,0.00,0.00,16.50,0.00
MAY 2019,Dp World Posorja,0.00,0.00,16.50,0.00
JUN 2019,Dp World Posorja,0.00,0.00,16.50,0.00
JUL 2019,Dp World Posorja,0.00,0.00,16.50,0.00
AGO 2019,Dp World Posorja,78096.71,14.00,16.50,743.78
SEP 2019,Dp World Posorja,124096.95,16.00,16.50,977.14
OCT 2019,Dp World Posorja,156001.91,18.00,16.50,1054.07
NOV 2019,Dp World Posorja,181751.99,18.00,16.50,1219.81
DIC 2019,Dp World Posorja,164886.01,16.00,16.50,1239.74
ENE 2020,Contecon Guayaquil,526389.73,64.00,12.50,380.29
FEB 2020,Contecon Guayaquil,472011.34,58.00,12.50,504.23
MAR 2020,Contecon Guayaquil,542411.22,54.00,12.50,409.58
ABR 2020,Contecon Guayaquil,448758.71,54.00,12.50,430.11
MAY 2020,Contecon Guayaquil,509660.97,67.00,12.50,391.00
JUN 2020,Contecon Guayaquil,459694.53,61.00,12.50,418.58
